"State","year","wind_capacity","solar_capacity","is_corporate","is_public","gb","is_rps"
"AL",2010,0,0,0,0,0,0
"AL",2011,0,0,0,0,0,0
"AL",2012,0,0,0,0,0,0
"AL",2013,0,0,0,0,0,0
"AL",2014,0,0,0,0,0,0
"AL",2015,0,0,0,0,0,0
"AL",2016,0,75,0,0,0,0
"AL",2017,0,182.2,0,0,0,0
"AL",2018,0,196.9,0,0,0,0
"AL",2019,0,196.9,0,0,0,0
"AL",2020,0,196.9,0,0,0,0
"AL",2021,0,423.9,0,0,0,0
"AL",2022,0,423.9,1,0,1,0
"AL",2023,0,603.9,1,0,1,0
"AL",2024,0,666.3,1,0,1,0
"AR",2010,0,0,0,0,0,0
"AR",2011,0,0,0,0,0,0
"AR",2012,0,0,0,0,0,0
"AR",2013,0,0,0,0,0,0
"AR",2014,0,0,0,0,0,0
"AR",2015,0,12,0,0,0,0
"AR",2016,0,13,0,0,0,0
"AR",2017,0,19,0,0,0,0
"AR",2018,0,100,0,0,0,0
"AR",2019,0,112.2,0,0,0,0
"AR",2020,0,213.7,0,1,1,0
"AR",2021,0,223.7,1,1,1,0
"AR",2022,0,329.7,1,1,1,0
"AR",2023,0,820.9,1,1,1,0
"AR",2024,0,1793.7,1,1,1,0
"AZ",2010,128.1,0,0,0,0,1
"AZ",2011,138.1,188.874247491639,0,0,0,1
"AZ",2012,237.3,741.866889632107,0,0,0,1
"AZ",2013,237.3,1164.4,0,0,0,1
"AZ",2014,237.3,1402.6,0,0,0,1
"AZ",2015,267.3,1515.6,0,0,0,1
"AZ",2016,267.3,1889.5,0,0,0,1
"AZ",2017,267.3,2058.6,0,0,0,1
"AZ",2018,267.3,2067.3,0,0,0,1
"AZ",2019,267.3,2158,0,0,0,1
"AZ",2020,617.3,2411.9,1,0,1,1
"AZ",2021,617.3,2810.8,1,0,1,1
"AZ",2022,617.3,3026.8,1,0,1,1
"AZ",2023,855.5,3935.5,1,1,1,1
"AZ",2024,1234.5,5336.5,1,1,1,1
"CA",2010,2051.38665363332,0,0,0,0,1
"CA",2011,3268.57183878581,317.3493496557,0,0,0,1
"CA",2012,5283.59172185204,983.262739097169,0,0,0,1
"CA",2013,5617.8,3399.8,0,0,0,1
"CA",2014,5832.8,5829.2,0,1,1,1
"CA",2015,5740.7,7056.9,0,1,1,1
"CA",2016,5670.7,9861.7,1,1,1,1
"CA",2017,5871.8,10760,1,1,1,1
"CA",2018,6077.8,11837.6,1,1,1,1
"CA",2019,6162.6,12795.4,1,1,1,1
"CA",2020,5970.6,14473.4,1,1,1,1
"CA",2021,6198.9,15580.6,1,1,1,1
"CA",2022,6176,17691.6,1,1,1,1
"CA",2023,6314.6,19939.8,1,1,1,1
"CA",2024,6487.2,22562.9,1,1,1,1
"CO",2010,1292.77952010741,27.2258823529412,0,0,0,1
"CO",2011,1798.05939970115,78.8117647058824,0,0,0,1
"CO",2012,2298.79630335448,121.8,0,0,0,1
"CO",2013,2330.9,121.8,0,0,0,1
"CO",2014,2594.1,129.6,0,0,0,1
"CO",2015,2968.8,194,0,0,0,1
"CO",2016,3027.1,419.4,0,1,1,1
"CO",2017,3107.2,462.1,0,1,1,1
"CO",2018,3704.2,532.6,1,1,1,1
"CO",2019,3758.4,607.9,1,1,1,1
"CO",2020,4722.7,682.2,1,1,1,1
"CO",2021,5032.3,1060.9,1,1,1,1
"CO",2022,5177.3,1303.4,1,1,1,1
"CO",2023,5378.8,2174.7,1,1,1,1
"CO",2024,5378.8,2371.2,1,1,1,1
"CT",2010,0,0,0,0,0,1
"CT",2011,0,0,0,0,0,1
"CT",2012,0,0,0,0,0,1
"CT",2013,0,5,0,0,0,1
"CT",2014,0,10,0,0,0,1
"CT",2015,0,10,0,0,0,1
"CT",2016,5,25.2,0,0,0,1
"CT",2017,5,33.8,0,0,0,1
"CT",2018,5,86.1,0,0,0,1
"CT",2019,5,135.9,1,1,1,1
"CT",2020,5,161.5,1,1,1,1
"CT",2021,5,245.8,1,1,1,1
"CT",2022,5,273.4,1,1,1,1
"CT",2023,5,287.9,1,1,1,1
"CT",2024,5,322.8,1,1,1,1
"DE",2010,2,0,0,0,0,1
"DE",2011,2,12.8636363636364,0,0,0,1
"DE",2012,2,28.3,0,0,0,1
"DE",2013,2,28.3,0,0,0,1
"DE",2014,2,29.6,0,0,0,1
"DE",2015,2,30.8,0,0,0,1
"DE",2016,2,30.8,0,0,0,1
"DE",2017,2,32,0,0,0,1
"DE",2018,2,33.4,0,0,0,1
"DE",2019,2,36.8,0,1,1,1
"DE",2020,2,36.8,0,1,1,1
"DE",2021,2,38.1,0,1,1,1
"DE",2022,2,89.6,0,1,1,1
"DE",2023,2,89.6,0,1,1,1
"DE",2024,2,97.3,0,1,1,1
"FL",2010,0,54.6448275862069,0,0,0,0
"FL",2011,0,68.9,0,0,0,0
"FL",2012,0,68.9,0,0,0,0
"FL",2013,0,68.9,0,0,0,0
"FL",2014,0,75.1,0,0,0,0
"FL",2015,0,84.6,0,0,0,0
"FL",2016,0,330.6,0,0,0,0
"FL",2017,0,517.7,0,0,0,0
"FL",2018,0,1401.6,0,0,0,0
"FL",2019,0,2145,1,0,1,0
"FL",2020,0,3785.1,1,0,1,0
"FL",2021,0,4953,1,0,1,0
"FL",2022,0,5995.9,1,0,1,0
"FL",2023,0,7803.4,1,0,1,0
"FL",2024,0,10951.9,1,0,1,0
"GA",2010,0,0,0,0,0,0
"GA",2011,0,0,0,0,0,0
"GA",2012,0,0,0,0,0,0
"GA",2013,0,61.1,0,0,0,0
"GA",2014,0,68.6,0,0,0,0
"GA",2015,0,241.2,0,0,0,0
"GA",2016,0,978.1,1,0,1,0
"GA",2017,0,985.9,1,0,1,0
"GA",2018,0,1026.2,1,1,1,0
"GA",2019,0,1525.1,1,1,1,0
"GA",2020,0,2207.7,1,1,1,0
"GA",2021,0,3080,1,1,1,0
"GA",2022,0,3642.9,1,1,1,0
"GA",2023,0,4134.5,1,1,1,0
"GA",2024,0,5014.4,1,1,1,0
"IA",2010,3585.32731151311,0,0,0,0,1
"IA",2011,4350.26824506154,0,0,0,0,1
"IA",2012,5154.1,0,0,0,0,1
"IA",2013,5154.1,0,0,0,0,1
"IA",2014,5667.2,0,0,0,0,1
"IA",2015,6314,0,0,1,1,1
"IA",2016,6935.3,2.6,0,1,1,1
"IA",2017,7098.7,7.7,1,1,1,1
"IA",2018,8386.7,9.2,1,1,1,1
"IA",2019,9906.3,13.8,1,1,1,1
"IA",2020,11406.9,18.4,1,1,1,1
"IA",2021,11804.1,118.4,1,1,1,1
