"State","Year","Population"
"Alabama",2010,4788095
"Alabama",2011,4812576
"Alabama",2012,4839947
"Alabama",2013,4865253
"Alabama",2014,4887757
"Alabama",2015,4909177
"Alabama",2016,4931579
"Alabama",2017,4953096
"Alabama",2018,4977088
"Alabama",2019,5003778
"Alabama",2020,5033094
"Alabama",2021,5049196
"Alabama",2022,5076181
"Alabama",2023,5117673
"Alabama",2024,5157699
"Alaska",2010,714015
"Alaska",2011,722513
"Alaska",2012,731106
"Alaska",2013,738054
"Alaska",2014,737634
"Alaska",2015,739120
"Alaska",2016,743397
"Alaska",2017,741937
"Alaska",2018,737710
"Alaska",2019,734820
"Alaska",2020,733017
"Alaska",2021,734420
"Alaska",2022,734442
"Alaska",2023,736510
"Alaska",2024,740133
"Arizona",2010,6401304
"Arizona",2011,6443158
"Arizona",2012,6501800
"Arizona",2013,6555926
"Arizona",2014,6629890
"Arizona",2015,6705607
"Arizona",2016,6793278
"Arizona",2017,6872380
"Arizona",2018,6964300
"Arizona",2019,7067695
"Arizona",2020,7187135
"Arizona",2021,7274078
"Arizona",2022,7377566
"Arizona",2023,7473027
"Arizona",2024,7582384
"Arkansas",2010,2921546
"Arkansas",2011,2938773
"Arkansas",2012,2948793
"Arkansas",2013,2954563
"Arkansas",2014,2961050
"Arkansas",2015,2970210
"Arkansas",2016,2980475
"Arkansas",2017,2990702
"Arkansas",2018,2997195
"Arkansas",2019,3004206
"Arkansas",2020,3014546
"Arkansas",2021,3026870
"Arkansas",2022,3047704
"Arkansas",2023,3069463
"Arkansas",2024,3088354
"California",2010,37322523
"California",2011,37651212
"California",2012,37971412
"California",2013,38292557
"California",2014,38637421
"California",2015,38966939
"California",2016,39223789
"California",2017,39424315
"California",2018,39535920
"California",2019,39547995
"California",2020,39521958
"California",2021,39142565
"California",2022,39142414
"California",2023,39198693
"California",2024,39431263
"Colorado",2010,5046928
"Colorado",2011,5118837
"Colorado",2012,5188139
"Colorado",2013,5262801
"Colorado",2014,5342212
"Colorado",2015,5441452
"Colorado",2016,5528510
"Colorado",2017,5599635
"Colorado",2018,5676918
"Colorado",2019,5735797
"Colorado",2020,5787129
"Colorado",2021,5814036
"Colorado",2022,5850935
"Colorado",2023,5901339
"Colorado",2024,5957493
"Connecticut",2010,3580281
"Connecticut",2011,3594181
"Connecticut",2012,3605215
"Connecticut",2013,3610238
"Connecticut",2014,3614584
"Connecticut",2015,3611891
"Connecticut",2016,3607614
"Connecticut",2017,3607550
"Connecticut",2018,3611229
"Connecticut",2019,3607133
"Connecticut",2020,3579918
"Connecticut",2021,3606607
"Connecticut",2022,3617925
"Connecticut",2023,3643023
"Connecticut",2024,3675069
"Delaware",2010,899773
"Delaware",2011,908220
"Delaware",2012,916654
"Delaware",2013,925704
"Delaware",2014,935278
"Delaware",2015,944716
"Delaware",2016,953146
"Delaware",2017,961604
"Delaware",2018,971152
"Delaware",2019,981340
"Delaware",2020,991928
"Delaware",2021,1005062
"Delaware",2022,1020625
"Delaware",2023,1036423
"Delaware",2024,1051917
"District of Columbia",2010,604718
"District of Columbia",2011,617465
"District of Columbia",2012,630643
"District of Columbia",2013,644203
"District of Columbia",2014,653986
"District of Columbia",2015,665135
"District of Columbia",2016,673428
"District of Columbia",2017,680670
"District of Columbia",2018,685476
"District of Columbia",2019,687320
"District of Columbia",2020,670917
"District of Columbia",2021,669256
"District of Columbia",2022,676725
"District of Columbia",2023,687324
"District of Columbia",2024,702250
"Florida",2010,18842405
"Florida",2011,19036879
"Florida",2012,19268256
"Florida",2013,19502928
"Florida",2014,19790139
"Florida",2015,20140379
"Florida",2016,20533473
"Florida",2017,20868335
"Florida",2018,21131181
"Florida",2019,21353320
"Florida",2020,21592035
"Florida",2021,21831949
"Florida",2022,22379312
"Florida",2023,22904868
"Florida",2024,23372215
"Georgia",2010,9712616
"Georgia",2011,9805666
"Georgia",2012,9907250
"Georgia",2013,9980892
"Georgia",2014,10078133
"Georgia",2015,10191912
"Georgia",2016,10318636
"Georgia",2017,10428854
"Georgia",2018,10532841
"Georgia",2019,10643103
"Georgia",2020,10732888
"Georgia",2021,10792060
"Georgia",2022,10931805
"Georgia",2023,11064432
"Georgia",2024,11180878
"Hawaii",2010,1365117
"Hawaii",2011,1385141
"Hawaii",2012,1405255
"Hawaii",2013,1423345
"Hawaii",2014,1434323
"Hawaii",2015,1446452
"Hawaii",2016,1456816
"Hawaii",2017,1458161
"Hawaii",2018,1459965
"Hawaii",2019,1456943
"Hawaii",2020,1451252
"Hawaii",2021,1447029
"Hawaii",2022,1440359
"Hawaii",2023,1441387
"Hawaii",2024,1446146
"Idaho",2010,1571339
"Idaho",2011,1586880
"Idaho",2012,1600611
"Idaho",2013,1618841
"Idaho",2014,1641124
"Idaho",2015,1663458
"Idaho",2016,1697093
"Idaho",2017,1734888
"Idaho",2018,1769305
"Idaho",2019,1808378
"Idaho",2020,1849415
"Idaho",2021,1904848
"Idaho",2022,1944299
"Idaho",2023,1971122
"Idaho",2024,2001619
"Illinois",2010,12845460
"Illinois",2011,12892409
"Illinois",2012,12927420
"Illinois",2013,12959880
"Illinois",2014,12968905
"Illinois",2015,12963110
"Illinois",2016,12944999
"Illinois",2017,12922894
"Illinois",2018,12887397
"Illinois",2019,12849440
"Illinois",2020,12799088
"Illinois",2021,12700641
"Illinois",2022,12621821
"Illinois",2023,12642259
"Illinois",2024,12710158
"Indiana",2010,6491385
"Indiana",2011,6521409
"Indiana",2012,6546485
"Indiana",2013,6581401
"Indiana",2014,6610174
"Indiana",2015,6628925
"Indiana",2016,6658719
"Indiana",2017,6686218
"Indiana",2018,6725960
"Indiana",2019,6761818
"Indiana",2020,6790497
"Indiana",2021,6815907
"Indiana",2022,6844545
"Indiana",2023,6880131
"Indiana",2024,6924275
"Iowa",2010,3051473
"Iowa",2011,3070048
"Iowa",2012,3082748
"Iowa",2013,3102460
"Iowa",2014,3121790
"Iowa",2015,3136310
"Iowa",2016,3149607
"Iowa",2017,3162752
"Iowa",2018,3171540
"Iowa",2019,3183858
"Iowa",2020,3191141
"Iowa",2021,3198613
"Iowa",2022,3202820
"Iowa",2023,3218414
"Iowa",2024,3241488
"Kansas",2010,2858835
"Kansas",2011,2872529
"Kansas",2012,2891164
"Kansas",2013,2901727
"Kansas",2014,2911564
"Kansas",2015,2922703
"Kansas",2016,2927251
"Kansas",2017,2927448
"Kansas",2018,2931587
"Kansas",2019,2933756
"Kansas",2020,2938172
"Kansas",2021,2938338
"Kansas",2022,2937324
"Kansas",2023,2951500
"Kansas",2024,2970606
"Kentucky",2010,4349159
"Kentucky",2011,4374302
"Kentucky",2012,4394147
"Kentucky",2013,4415978
"Kentucky",2014,4428854
"Kentucky",2015,4443778
"Kentucky",2016,4457755
"Kentucky",2017,4475829
"Kentucky",2018,4487302
"Kentucky",2019,4498163
"Kentucky",2020,4508318
"Kentucky",2021,4507583
"Kentucky",2022,4519233
"Kentucky",2023,4550595
"Kentucky",2024,4588372
"Louisiana",2010,4544804
"Louisiana",2011,4577089
"Louisiana",2012,4603590
"Louisiana",2013,4628239
"Louisiana",2014,4648813
"Louisiana",2015,4670550
"Louisiana",2016,4685576
"Louisiana",2017,4678580
"Louisiana",2018,4670033
"Louisiana",2019,4664544
"Louisiana",2020,4652301
"Louisiana",2021,4627971
"Louisiana",2022,4593687
"Louisiana",2023,4588071
"Louisiana",2024,4597740
"Maine",2010,1327967
"Maine",2011,1330060
"Maine",2012,1330954
"Maine",2013,1332673
"Maine",2014,1336617
"Maine",2015,1335768
"Maine",2016,1340292
"Maine",2017,1344956
"Maine",2018,1350606
"Maine",2019,1357523
"Maine",2020,1364571
"Maine",2021,1378931
"Maine",2022,1390922
"Maine",2023,1399646
"Maine",2024,1405012
"Maryland",2010,5791715
"Maryland",2011,5854930
"Maryland",2012,5914854
"Maryland",2013,5963434
"Maryland",2014,6010059
"Maryland",2015,6050280
"Maryland",2016,6080556
"Maryland",2017,6113486
"Maryland",2018,6139211
"Maryland",2019,6163769
"Maryland",2020,6177935
"Maryland",2021,6179403
"Maryland",2022,6192440
"Maryland",2023,6217062
"Maryland",2024,6263220
"Massachusetts",2010,6569724
"Massachusetts",2011,6630673
"Massachusetts",2012,6693932
"Massachusetts",2013,6757991
"Massachusetts",2014,6820869
"Massachusetts",2015,6866661
"Massachusetts",2016,6909664
"Massachusetts",2017,6959114
"Massachusetts",2018,6994446
"Massachusetts",2019,7016781
"Massachusetts",2020,6994598
"Massachusetts",2021,7000474
"Massachusetts",2022,7022468
"Massachusetts",2023,7066568
"Massachusetts",2024,7136171
"Michigan",2010,9880111
"Michigan",2011,9895652
"Michigan",2012,9921001
"Michigan",2013,9947598
"Michigan",2014,9974914
"Michigan",2015,9987448
"Michigan",2016,10017194
"Michigan",2017,10049914
"Michigan",2018,10070532
"Michigan",2019,10078126
"Michigan",2020,10072703
"Michigan",2021,10041351
"Michigan",2022,10050877
"Michigan",2023,10083356
"Michigan",2024,10140459
"Minnesota",2010,5312197
"Minnesota",2011,5352946
"Minnesota",2012,5388902
"Minnesota",2013,5431187
"Minnesota",2014,5474193
"Minnesota",2015,5510593
