"State","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020","Y2021","Y2022","Y2023","Y2024"
"Alabama",4788095,4812576,4839947,4865253,4887757,4909177,4931579,4953096,4977088,5003778,5033094,5049196,5076181,5117673,5157699
"Alaska",714015,722513,731106,738054,737634,739120,743397,741937,737710,734820,733017,734420,734442,736510,740133
"Arizona",6401304,6443158,6501800,6555926,6629890,6705607,6793278,6872380,6964300,7067695,7187135,7274078,7377566,7473027,7582384
"Arkansas",2921546,2938773,2948793,2954563,2961050,2970210,2980475,2990702,2997195,3004206,3014546,3026870,3047704,3069463,3088354
"California",37322523,37651212,37971412,38292557,38637421,38966939,39223789,39424315,39535920,39547995,39521958,39142565,39142414,39198693,39431263
"Colorado",5046928,5118837,5188139,5262801,5342212,5441452,5528510,5599635,5676918,5735797,5787129,5814036,5850935,5901339,5957493
"Connecticut",3580281,3594181,3605215,3610238,3614584,3611891,3607614,3607550,3611229,3607133,3579918,3606607,3617925,3643023,3675069
"Delaware",899773,908220,916654,925704,935278,944716,953146,961604,971152,981340,991928,1005062,1020625,1036423,1051917
"District of Columbia",604718,617465,630643,644203,653986,665135,673428,680670,685476,687320,670917,669256,676725,687324,702250
"Florida",18842405,19036879,19268256,19502928,19790139,20140379,20533473,20868335,21131181,21353320,21592035,21831949,22379312,22904868,23372215
"Georgia",9712616,9805666,9907250,9980892,10078133,10191912,10318636,10428854,10532841,10643103,10732888,10792060,10931805,11064432,11180878
"Hawaii",1365117,1385141,1405255,1423345,1434323,1446452,1456816,1458161,1459965,1456943,1451252,1447029,1440359,1441387,1446146
"Idaho",1571339,1586880,1600611,1618841,1641124,1663458,1697093,1734888,1769305,1808378,1849415,1904848,1944299,1971122,2001619
"Illinois",12845460,12892409,12927420,12959880,12968905,12963110,12944999,12922894,12887397,12849440,12799088,12700641,12621821,12642259,12710158
"Indiana",6491385,6521409,6546485,6581401,6610174,6628925,6658719,6686218,6725960,6761818,6790497,6815907,6844545,6880131,6924275
"Iowa",3051473,3070048,3082748,3102460,3121790,3136310,3149607,3162752,3171540,3183858,3191141,3198613,3202820,3218414,3241488
"Kansas",2858835,2872529,2891164,2901727,2911564,2922703,2927251,2927448,2931587,2933756,2938172,2938338,2937324,2951500,2970606
"Kentucky",4349159,4374302,4394147,4415978,4428854,4443778,4457755,4475829,4487302,4498163,4508318,4507583,4519233,4550595,4588372
"Louisiana",4544804,4577089,4603590,4628239,4648813,4670550,4685576,4678580,4670033,4664544,4652301,4627971,4593687,4588071,4597740
"Maine",1327967,1330060,1330954,1332673,1336617,1335768,1340292,1344956,1350606,1357523,1364571,1378931,1390922,1399646,1405012
"Maryland",5791715,5854930,5914854,5963434,6010059,6050280,6080556,6113486,6139211,6163769,6177935,6179403,6192440,6217062,6263220
"Massachusetts",6569724,6630673,6693932,6757991,6820869,6866661,6909664,6959114,6994446,7016781,6994598,7000474,7022468,7066568,7136171
"Michigan",9880111,9895652,9921001,9947598,9974914,9987448,10017194,10049914,10070532,10078126,10072703,10041351,10050877,10083356,10140459
"Minnesota",5312197,5352946,5388902,5431187,5474193,5510593,5557028,5606013,5650556,5686910,5710735,5718660,5721621,5753048,5793151
"Mississippi",2970367,2977902,2982356,2986599,2987656,2985000,2984364,2983448,2974657,2969008,2958536,2947209,2941939,2943172,2943045
"Missouri",5996167,6011574,6026733,6044008,6060462,6077056,6093343,6113654,6128572,6143374,6154744,6171374,6179414,6208038,6245466
"Montana",990874,998243,1005475,1016046,1025126,1034544,1045768,1058073,1066610,1075495,1087230,1106522,1122095,1131302,1137233
"Nebraska",1830194,1843937,1859140,1873681,1890242,1904766,1921616,1934551,1945483,1954962,1963387,1964537,1972246,1987864,2005465
"Nevada",2701888,2710129,2739290,2769188,2808779,2855986,2904614,2954768,3011007,3068665,3116967,3148141,3176116,3214363,3267467
"New Hampshire",1317105,1321939,1327372,1331163,1339344,1343764,1351178,1359076,1364941,1371857,1378756,1387677,1396678,1402199,1409032
"New Jersey",8809368,8878245,8935248,8987175,9036406,9079218,9122374,9176713,9220072,9259376,9272794,9270541,9295227,9379642,9500851
"New Mexico",2064898,2082130,2090282,2096538,2095081,2096056,2099682,2101111,2103161,2110180,2118606,2117333,2113868,2121164,2130256
"New York",19420354,19602134,19758616,19892558,20001317,20087023,20148134,20187407,20219472,20220321,20105171,19848276,19703747,19737367,19867248
"North Carolina",9571037,9641131,9719755,9800429,9876774,9962464,10072775,10172498,10273864,10369657,10449652,10564320,10710793,10881189,11046024
"North Dakota",675097,687257,705347,727655,744628,762814,764781,766807,771499,776548,779563,777966,781057,789047,796568
